0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00
1.000000000000000e-01, 1.381966011167109e-01, 2.628655560589693e-01, 3.618033988792630e-01
2.000000000000000e-01, 2.628655560497926e-01, 4.253254041757342e-01, 4.253254041818232e-01
3.000000000000000e-01, 3.618033988718199e-01, 4.253254041762625e-01, 1.381966011329303e-01
4.000000000000000e-01, 4.253254041820615e-01, 2.628655560597515e-01, -2.628655560485619e-01
5.000000000000000e-01, 4.472135955102165e-01, -3.705763486348024e-14, -4.472135954898016e-01
6.000000000000001e-01, 4.253254041820607e-01, -2.628655560593904e-01, -2.628655560508314e-01
7.000000000000001e-01, 3.618033988718194e-01, -4.253254041757636e-01, 1.381966011335248e-01
8.000000000000000e-01, 2.628655560497933e-01, -4.253254041763191e-01, 4.253254041824179e-01
9.000000000000000e-01, 1.381966011167120e-01, -2.628655560601560e-01, 3.618033988769935e-01
1.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00
