eps, eps_squared
-1.1657000000e+00, 5.4796440000e+02
-1.1582000000e+00, 5.3951280000e+02
-1.1634000000e+00, 5.4585120000e+02
-1.1772000000e+00, 5.6032880000e+02
-1.1859000000e+00, 5.6674280000e+02
-1.3568000000e+00, 7.4549680000e+02
-1.3736000000e+00, 7.5920960000e+02
-1.3171000000e+00, 7.0255080000e+02
-1.1344000000e+00, 5.1792880000e+02
-1.1688000000e+00, 5.4940960000e+02
-1.1942000000e+00, 5.7619840000e+02
-1.1474000000e+00, 5.3022160000e+02
-1.2758000000e+00, 6.5613200000e+02
-1.1018000000e+00, 4.9099120000e+02
-1.1550000000e+00, 5.3670720000e+02
-1.2347000000e+00, 6.1501720000e+02
-1.1947000000e+00, 5.7616360000e+02
-1.1432000000e+00, 5.2751600000e+02
-1.1705000000e+00, 5.5496520000e+02
-1.1564000000e+00, 5.3826000000e+02
-1.2923000000e+00, 6.7537960000e+02
-1.2755000000e+00, 6.5440200000e+02
-1.3377000000e+00, 7.2582840000e+02
-1.1502000000e+00, 5.3968000000e+02
-1.3463000000e+00, 7.2922920000e+02
-1.1543000000e+00, 5.3846840000e+02
-1.1645000000e+00, 5.4573960000e+02
-1.2371000000e+00, 6.1873480000e+02
-1.1888000000e+00, 5.7325600000e+02
-1.2220000000e+00, 6.0187040000e+02
-1.2248000000e+00, 6.0513840000e+02
-1.1126000000e+00, 4.9871760000e+02
-1.1670000000e+00, 5.5043200000e+02
-1.1771000000e+00, 5.6375320000e+02
-1.3394000000e+00, 7.2429040000e+02
-1.1888000000e+00, 5.6876000000e+02
-1.1849000000e+00, 5.6541480000e+02
-1.2199000000e+00, 6.0436840000e+02
-1.4190000000e+00, 8.1110800000e+02
-1.3121000000e+00, 6.9462920000e+02
-1.2428000000e+00, 6.2394480000e+02
-1.2091000000e+00, 5.9080520000e+02
-1.3686000000e+00, 7.5596400000e+02
-1.3249000000e+00, 7.0735720000e+02
-1.3228000000e+00, 7.0704800000e+02
-1.1734000000e+00, 5.5434720000e+02
-1.1833000000e+00, 5.6563480000e+02
-1.2983000000e+00, 6.8010200000e+02
-1.2821000000e+00, 6.6747560000e+02
-1.3943000000e+00, 7.8446120000e+02
-1.1822000000e+00, 5.6415280000e+02
-1.3500000000e+00, 7.3564640000e+02
-1.4237000000e+00, 8.1871960000e+02
-1.2792000000e+00, 6.5944160000e+02
-1.1633000000e+00, 5.5141800000e+02
-1.1699000000e+00, 5.5132200000e+02
-1.2908000000e+00, 6.7251600000e+02
-1.2791000000e+00, 6.5911960000e+02
-1.3375000000e+00, 7.2078760000e+02
-1.2319000000e+00, 6.1213800000e+02
-1.3266000000e+00, 7.1247600000e+02
-1.3067000000e+00, 6.8770360000e+02
-1.3695000000e+00, 7.5629880000e+02
-1.3905000000e+00, 7.7812920000e+02
-1.3999000000e+00, 7.8960680000e+02
-1.2504000000e+00, 6.3536080000e+02
-1.2448000000e+00, 6.2522080000e+02
-1.1795000000e+00, 5.6266680000e+02
-1.1412000000e+00, 5.2508800000e+02
-1.3651000000e+00, 7.5115720000e+02
-1.3814000000e+00, 7.7232560000e+02
-1.2989000000e+00, 6.8107320000e+02
-1.2502000000e+00, 6.2864320000e+02
-1.0911000000e+00, 4.7899160000e+02
-1.2411000000e+00, 6.1873720000e+02
-1.2045000000e+00, 5.8650760000e+02
-1.2419000000e+00, 6.2708920000e+02
-1.3417000000e+00, 7.2800920000e+02
-1.2952000000e+00, 6.7678800000e+02
-1.3661000000e+00, 7.5248760000e+02
-1.2771000000e+00, 6.5892200000e+02
-1.2062000000e+00, 5.8870240000e+02
-1.1914000000e+00, 5.7275920000e+02
-1.1899000000e+00, 5.7195880000e+02
-1.3908000000e+00, 7.8301760000e+02
-1.2231000000e+00, 6.0493720000e+02
-1.1546000000e+00, 5.3666880000e+02
-1.2797000000e+00, 6.5981720000e+02
-1.1437000000e+00, 5.2865240000e+02
-1.1543000000e+00, 5.3665800000e+02
-1.1057000000e+00, 4.9235400000e+02
-1.2593000000e+00, 6.3983640000e+02
-1.1972000000e+00, 5.7728320000e+02
