step, E, E2, absM, M2
68000, -7.9865882353e+00, 6.3892705882e+01, 3.9956176471e+00, 1.5977823529e+01
69000, -7.9867826087e+00, 6.3894260870e+01, 3.9956811594e+00, 1.5978144928e+01
70000, -7.9869714286e+00, 6.3895771429e+01, 3.9957428571e+00, 1.5978457143e+01
71000, -7.9865915493e+00, 6.3892732394e+01, 3.9955492958e+00, 1.5977690141e+01
72000, -7.9864444444e+00, 6.3891555556e+01, 3.9954722222e+00, 1.5977388889e+01
73000, -7.9866301370e+00, 6.3893041096e+01, 3.9955342466e+00, 1.5977698630e+01
74000, -7.9868108108e+00, 6.3894486486e+01, 3.9955945946e+00, 1.5978000000e+01
75000, -7.9869866667e+00, 6.3895893333e+01, 3.9956533333e+00, 1.5978293333e+01
76000, -7.9870526316e+00, 6.3896421053e+01, 3.9956842105e+00, 1.5978421053e+01
77000, -7.9871168831e+00, 6.3896935065e+01, 3.9956883117e+00, 1.5978493506e+01
78000, -7.9867692308e+00, 6.3894153846e+01, 3.9956153846e+00, 1.5978000000e+01
79000, -7.9863291139e+00, 6.3890632911e+01, 3.9954683544e+00, 1.5977265823e+01
80000, -7.9864000000e+00, 6.3891200000e+01, 3.9954750000e+00, 1.5977350000e+01
81000, -7.9864691358e+00, 6.3891753086e+01, 3.9955061728e+00, 1.5977481481e+01
82000, -7.9866341463e+00, 6.3893073171e+01, 3.9955609756e+00, 1.5977756098e+01
83000, -7.9867951807e+00, 6.3894361446e+01, 3.9956144578e+00, 1.5978024096e+01
84000, -7.9869523810e+00, 6.3895619048e+01, 3.9956666667e+00, 1.5978285714e+01
85000, -7.9871058824e+00, 6.3896847059e+01, 3.9957176471e+00, 1.5978541176e+01
86000, -7.9872558140e+00, 6.3898046512e+01, 3.9957674419e+00, 1.5978790698e+01
87000, -7.9873103448e+00, 6.3898482759e+01, 3.9957701149e+00, 1.5978850575e+01
88000, -7.9872727273e+00, 6.3898181818e+01, 3.9957500000e+00, 1.5978772727e+01
89000, -7.9872359551e+00, 6.3897887640e+01, 3.9957528090e+00, 1.5978741573e+01
90000, -7.9873777778e+00, 6.3899022222e+01, 3.9958000000e+00, 1.5978977778e+01
91000, -7.9875164835e+00, 6.3900131868e+01, 3.9958461538e+00, 1.5979208791e+01
92000, -7.9876521739e+00, 6.3901217391e+01, 3.9958913043e+00, 1.5979434783e+01
93000, -7.9877849462e+00, 6.3902279570e+01, 3.9959354839e+00, 1.5979655914e+01
94000, -7.9877446809e+00, 6.3901957447e+01, 3.9959148936e+00, 1.5979574468e+01
95000, -7.9878736842e+00, 6.3902989474e+01, 3.9959578947e+00, 1.5979789474e+01
96000, -7.9880000000e+00, 6.3904000000e+01, 3.9960000000e+00, 1.5980000000e+01
97000, -7.9881237113e+00, 6.3904989691e+01, 3.9960412371e+00, 1.5980206186e+01
98000, -7.9880000000e+00, 6.3904000000e+01, 3.9960204082e+00, 1.5980040816e+01
99000, -7.9878787879e+00, 6.3903030303e+01, 3.9959797980e+00, 1.5979838384e+01
100000, -7.9880000000e+00, 6.3904000000e+01, 3.9960200000e+00, 1.5980040000e+01
101000, -7.9881188119e+00, 6.3904950495e+01, 3.9960594059e+00, 1.5980237624e+01
102000, -7.9882352941e+00, 6.3905882353e+01, 3.9960980392e+00, 1.5980431373e+01
103000, -7.9883495146e+00, 6.3906796117e+01, 3.9961359223e+00, 1.5980621359e+01
104000, -7.9884615385e+00, 6.3907692308e+01, 3.9961730769e+00, 1.5980807692e+01
105000, -7.9881904762e+00, 6.3905523810e+01, 3.9960952381e+00, 1.5980380952e+01
106000, -7.9883018868e+00, 6.3906415094e+01, 3.9961320755e+00, 1.5980566038e+01
107000, -7.9881869159e+00, 6.3905495327e+01, 3.9960747664e+00, 1.5980336449e+01
108000, -7.9879259259e+00, 6.3903407407e+01, 3.9960185185e+00, 1.5979962963e+01
109000, -7.9880366972e+00, 6.3904293578e+01, 3.9960550459e+00, 1.5980146789e+01
110000, -7.9881454545e+00, 6.3905163636e+01, 3.9960909091e+00, 1.5980327273e+01
111000, -7.9881081081e+00, 6.3904864865e+01, 3.9960720721e+00, 1.5980252252e+01
112000, -7.9882142857e+00, 6.3905714286e+01, 3.9961071429e+00, 1.5980428571e+01
113000, -7.9882477876e+00, 6.3905982301e+01, 3.9961238938e+00, 1.5980495575e+01
114000, -7.9883508772e+00, 6.3906807018e+01, 3.9961578947e+00, 1.5980666667e+01
115000, -7.9880347826e+00, 6.3904278261e+01, 3.9960347826e+00, 1.5980104348e+01
116000, -7.9880689655e+00, 6.3904551724e+01, 3.9960517241e+00, 1.5980172414e+01
117000, -7.9881709402e+00, 6.3905367521e+01, 3.9960854701e+00, 1.5980341880e+01
118000, -7.9882711864e+00, 6.3906169492e+01, 3.9961186441e+00, 1.5980508475e+01
119000, -7.9883697479e+00, 6.3906957983e+01, 3.9961512605e+00, 1.5980672269e+01
120000, -7.9884666667e+00, 6.3907733333e+01, 3.9961833333e+00, 1.5980833333e+01
121000, -7.9884297521e+00, 6.3907438017e+01, 3.9961818182e+00, 1.5980793388e+01
122000, -7.9885245902e+00, 6.3908196721e+01, 3.9962131148e+00, 1.5980950820e+01
123000, -7.9884878049e+00, 6.3907902439e+01, 3.9961951220e+00, 1.5980878049e+01
124000, -7.9881935484e+00, 6.3905548387e+01, 3.9960645161e+00, 1.5980322581e+01
125000, -7.9880960000e+00, 6.3904768000e+01, 3.9960000000e+00, 1.5980096000e+01
126000, -7.9881904762e+00, 6.3905523810e+01, 3.9960317460e+00, 1.5980253968e+01
127000, -7.9882834646e+00, 6.3906267717e+01, 3.9960629921e+00, 1.5980409449e+01
128000, -7.9878750000e+00, 6.3903000000e+01, 3.9959375000e+00, 1.5979750000e+01
129000, -7.9879689922e+00, 6.3903751938e+01, 3.9959689922e+00, 1.5979906977e+01
130000, -7.9880615385e+00, 6.3904492308e+01, 3.9960000000e+00, 1.5980061538e+01
131000, -7.9880305344e+00, 6.3904244275e+01, 3.9959694656e+00, 1.5979969466e+01
132000, -7.9881212121e+00, 6.3904969697e+01, 3.9960000000e+00, 1.5980121212e+01
133000, -7.9882105263e+00, 6.3905684211e+01, 3.9960300752e+00, 1.5980270677e+01
134000, -7.9881791045e+00, 6.3905432836e+01, 3.9960298507e+00, 1.5980238806e+01
135000, -7.9882666667e+00, 6.3906133333e+01, 3.9960592593e+00, 1.5980385185e+01
136000, -7.9883529412e+00, 6.3906823529e+01, 3.9960882353e+00, 1.5980529412e+01
137000, -7.9883795620e+00, 6.3907036496e+01, 3.9961021898e+00, 1.5980583942e+01
138000, -7.9884637681e+00, 6.3907710145e+01, 3.9961304348e+00, 1.5980724638e+01
139000, -7.9883741007e+00, 6.3906992806e+01, 3.9961151079e+00, 1.5980604317e+01
140000, -7.9882857143e+00, 6.3906285714e+01, 3.9960857143e+00, 1.5980457143e+01
141000, -7.9883687943e+00, 6.3906950355e+01, 3.9961134752e+00, 1.5980595745e+01
142000, -7.9884507042e+00, 6.3907605634e+01, 3.9961408451e+00, 1.5980732394e+01
143000, -7.9885314685e+00, 6.3908251748e+01, 3.9961678322e+00, 1.5980867133e+01
144000, -7.9886111111e+00, 6.3908888889e+01, 3.9961944444e+00, 1.5981000000e+01
145000, -7.9884137931e+00, 6.3907310345e+01, 3.9961379310e+00, 1.5980689655e+01
146000, -7.9884931507e+00, 6.3907945205e+01, 3.9961643836e+00, 1.5980821918e+01
147000, -7.9885714286e+00, 6.3908571429e+01, 3.9961904762e+00, 1.5980952381e+01
148000, -7.9886486486e+00, 6.3909189189e+01, 3.9962162162e+00, 1.5981081081e+01
149000, -7.9886174497e+00, 6.3908939597e+01, 3.9962147651e+00, 1.5981046980e+01
150000, -7.9886933333e+00, 6.3909546667e+01, 3.9962400000e+00, 1.5981173333e+01
151000, -7.9887682119e+00, 6.3910145695e+01, 3.9962649007e+00, 1.5981298013e+01
152000, -7.9887894737e+00, 6.3910315789e+01, 3.9962763158e+00, 1.5981342105e+01
153000, -7.9888627451e+00, 6.3910901961e+01, 3.9963006536e+00, 1.5981464052e+01
154000, -7.9888311688e+00, 6.3910649351e+01, 3.9962727273e+00, 1.5981376623e+01
155000, -7.9889032258e+00, 6.3911225806e+01, 3.9962967742e+00, 1.5981496774e+01
156000, -7.9889743590e+00, 6.3911794872e+01, 3.9963205128e+00, 1.5981615385e+01
157000, -7.9887388535e+00, 6.3909910828e+01, 3.9962165605e+00, 1.5981171975e+01
158000, -7.9887088608e+00, 6.3909670886e+01, 3.9962025316e+00, 1.5981113924e+01
159000, -7.9886289308e+00, 6.3909031447e+01, 3.9961635220e+00, 1.5980955975e+01
160000, -7.9886500000e+00, 6.3909200000e+01, 3.9961750000e+00, 1.5981000000e+01
161000, -7.9887204969e+00, 6.3909763975e+01, 3.9961987578e+00, 1.5981118012e+01
162000, -7.9881481481e+00, 6.3905185185e+01, 3.9960246914e+00, 1.5980197531e+01
163000, -7.9880245399e+00, 6.3904196319e+01, 3.9959754601e+00, 1.5979975460e+01
164000, -7.9879512195e+00, 6.3903609756e+01, 3.9959512195e+00, 1.5979853659e+01
165000, -7.9880242424e+00, 6.3904193939e+01, 3.9959757576e+00, 1.5979975758e+01
166000, -7.9879036145e+00, 6.3903228916e+01, 3.9959518072e+00, 1.5979807229e+01
167000, -7.9878802395e+00, 6.3903041916e+01, 3.9959281437e+00, 1.5979736527e+01
168000, -7.9879523810e+00, 6.3903619048e+01, 3.9959523810e+00, 1.5979857143e+01
169000, -7.9878816568e+00, 6.3903053254e+01, 3.9959408284e+00, 1.5979763314e+01
170000, -7.9877647059e+00, 6.3902117647e+01, 3.9959176471e+00, 1.5979600000e+01
171000, -7.9877426901e+00, 6.3901941520e+01, 3.9959181287e+00, 1.5979578947e+01
172000, -7.9878139535e+00, 6.3902511628e+01, 3.9959418605e+00, 1.5979697674e+01
173000, -7.9876069364e+00, 6.3900855491e+01, 3.9958843931e+00, 1.5979375723e+01
174000, -7.9875862069e+00, 6.3900689655e+01, 3.9958620690e+00, 1.5979310345e+01
175000, -7.9876571429e+00, 6.3901257143e+01, 3.9958857143e+00, 1.5979428571e+01
176000, -7.9877272727e+00, 6.3901818182e+01, 3.9959090909e+00, 1.5979545455e+01
177000, -7.9877966102e+00, 6.3902372881e+01, 3.9959322034e+00, 1.5979661017e+01
178000, -7.9878202247e+00, 6.3902561798e+01, 3.9959438202e+00, 1.5979707865e+01
179000, -7.9878882682e+00, 6.3903106145e+01, 3.9959664804e+00, 1.5979821229e+01
180000, -7.9879555556e+00, 6.3903644444e+01, 3.9959888889e+00, 1.5979933333e+01
181000, -7.9880220994e+00, 6.3904176796e+01, 3.9960110497e+00, 1.5980044199e+01
182000, -7.9880000000e+00, 6.3904000000e+01, 3.9960000000e+00, 1.5980000000e+01
183000, -7.9879781421e+00, 6.3903825137e+01, 3.9960000000e+00, 1.5979978142e+01
184000, -7.9878695652e+00, 6.3902956522e+01, 3.9959565217e+00, 1.5979782609e+01
185000, -7.9879351351e+00, 6.3903481081e+01, 3.9959783784e+00, 1.5979891892e+01
186000, -7.9879139785e+00, 6.3903311828e+01, 3.9959677419e+00, 1.5979849462e+01
187000, -7.9879358289e+00, 6.3903486631e+01, 3.9959786096e+00, 1.5979893048e+01
188000, -7.9879148936e+00, 6.3903319149e+01, 3.9959787234e+00, 1.5979872340e+01
189000, -7.9879788360e+00, 6.3903830688e+01, 3.9960000000e+00, 1.5979978836e+01
190000, -7.9877052632e+00, 6.3901642105e+01, 3.9959263158e+00, 1.5979557895e+01
191000, -7.9877277487e+00, 6.3901821990e+01, 3.9959371728e+00, 1.5979602094e+01
192000, -7.9877916667e+00, 6.3902333333e+01, 3.9959583333e+00, 1.5979708333e+01
193000, -7.9878134715e+00, 6.3902507772e+01, 3.9959689119e+00, 1.5979751295e+01
194000, -7.9878350515e+00, 6.3902680412e+01, 3.9959690722e+00, 1.5979773196e+01
195000, -7.9878564103e+00, 6.3902851282e+01, 3.9959794872e+00, 1.5979815385e+01
196000, -7.9879183673e+00, 6.3903346939e+01, 3.9960000000e+00, 1.5979918367e+01
197000, -7.9879390863e+00, 6.3903512690e+01, 3.9960101523e+00, 1.5979959391e+01
198000, -7.9880000000e+00, 6.3904000000e+01, 3.9960303030e+00, 1.5980060606e+01
199000, -7.9880201005e+00, 6.3904160804e+01, 3.9960402010e+00, 1.5980100503e+01
200000, -7.9878800000e+00, 6.3903040000e+01, 3.9959800000e+00, 1.5979840000e+01
201000, -7.9879402985e+00, 6.3903522388e+01, 3.9960000000e+00, 1.5979940299e+01
202000, -7.9880000000e+00, 6.3904000000e+01, 3.9960198020e+00, 1.5980039604e+01
203000, -7.9880591133e+00, 6.3904472906e+01, 3.9960394089e+00, 1.5980137931e+01
204000, -7.9878431373e+00, 6.3902745098e+01, 3.9959607843e+00, 1.5979764706e+01
205000, -7.9878243902e+00, 6.3902595122e+01, 3.9959609756e+00, 1.5979746341e+01
206000, -7.9876504854e+00, 6.3901203883e+01, 3.9958932039e+00, 1.5979436893e+01
207000, -7.9876714976e+00, 6.3901371981e+01, 3.9958937198e+00, 1.5979458937e+01
208000, -7.9875384615e+00, 6.3900307692e+01, 3.9958557692e+00, 1.5979250000e+01
209000, -7.9874449761e+00, 6.3899559809e+01, 3.9958373206e+00, 1.5979119617e+01
210000, -7.9872000000e+00, 6.3897600000e+01, 3.9957523810e+00, 1.5978704762e+01
211000, -7.9872606635e+00, 6.3898085308e+01, 3.9957725118e+00, 1.5978805687e+01
212000, -7.9872452830e+00, 6.3897962264e+01, 3.9957547170e+00, 1.5978754717e+01
213000, -7.9871924883e+00, 6.3897539906e+01, 3.9957464789e+00, 1.5978685446e+01
214000, -7.9872149533e+00, 6.3897719626e+01, 3.9957570093e+00, 1.5978728972e+01
215000, -7.9872000000e+00, 6.3897600000e+01, 3.9957488372e+00, 1.5978697674e+01
216000, -7.9872592593e+00, 6.3898074074e+01, 3.9957685185e+00, 1.5978796296e+01
217000, -7.9872073733e+00, 6.3897658986e+01, 3.9957511521e+00, 1.5978709677e+01
218000, -7.9869357798e+00, 6.3895486239e+01, 3.9956513761e+00, 1.5978238532e+01
219000, -7.9869589041e+00, 6.3895671233e+01, 3.9956621005e+00, 1.5978283105e+01
220000, -7.9869818182e+00, 6.3895854545e+01, 3.9956727273e+00, 1.5978327273e+01
221000, -7.9868597285e+00, 6.3894877828e+01, 3.9956199095e+00, 1.5978099548e+01
222000, -7.9868108108e+00, 6.3894486486e+01, 3.9956036036e+00, 1.5978018018e+01
223000, -7.9867982063e+00, 6.3894385650e+01, 3.9956053812e+00, 1.5978008969e+01
224000, -7.9866071429e+00, 6.3892857143e+01, 3.9955089286e+00, 1.5977625000e+01
225000, -7.9864177778e+00, 6.3891342222e+01, 3.9954488889e+00, 1.5977315556e+01
226000, -7.9863008850e+00, 6.3890407080e+01, 3.9954247788e+00, 1.5977150442e+01
227000, -7.9863259912e+00, 6.3890607930e+01, 3.9954361233e+00, 1.5977198238e+01
228000, -7.9863508772e+00, 6.3890807018e+01, 3.9954473684e+00, 1.5977245614e+01
229000, -7.9864104803e+00, 6.3891283843e+01, 3.9954672489e+00, 1.5977344978e+01
230000, -7.9862260870e+00, 6.3889808696e+01, 3.9954000000e+00, 1.5977026087e+01
231000, -7.9862164502e+00, 6.3889731602e+01, 3.9953852814e+00, 1.5976987013e+01
232000, -7.9862758621e+00, 6.3890206897e+01, 3.9954051724e+00, 1.5977086207e+01
233000, -7.9863347639e+00, 6.3890678112e+01, 3.9954248927e+00, 1.5977184549e+01
234000, -7.9862905983e+00, 6.3890324786e+01, 3.9954188034e+00, 1.5977128205e+01
235000, -7.9862808511e+00, 6.3890246809e+01, 3.9954212766e+00, 1.5977123404e+01
236000, -7.9863050847e+00, 6.3890440678e+01, 3.9954322034e+00, 1.5977169492e+01
237000, -7.9863291139e+00, 6.3890632911e+01, 3.9954430380e+00, 1.5977215190e+01
